user_id,question_id,study_seen,study_result,updated_at
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778786034500-1,true,correct,2026-06-28 17:15:34.828+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778786034500-10,true,correct,2026-07-09 06:39:50.721+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778786034500-2,true,correct,2026-06-28 17:03:23.841+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778786034500-4,true,wrong,2026-07-08 08:43:35.986+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778786034500-5,true,correct,2026-07-11 12:06:27.18+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778786034500-6,true,correct,2026-07-11 07:31:21.721+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778786034500-7,true,correct,2026-07-14 09:17:28.165+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778786034500-8,true,correct,2026-07-14 09:21:45.215+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778786034500-9,true,correct,2026-07-14 09:26:42.421+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778786095045-3,true,correct,2026-07-01 08:27:25.507+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-1,true,correct,2026-05-21 08:41:49.755+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-10,true,correct,2026-06-27 16:14:16.199+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-12,true,wrong,2026-07-14 16:00:32.824+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-13,true,wrong,2026-07-14 15:58:40.12+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-14,true,correct,2026-07-14 15:53:21.723+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-15,true,correct,2026-07-11 07:29:49.476+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-16,true,correct,2026-07-11 07:30:45.518+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-18,true,correct,2026-07-14 09:32:53.997+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-19,true,correct,2026-07-14 09:23:32.322+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-2,true,correct,2026-07-01 08:29:17.847+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-20,true,correct,2026-07-09 12:48:08.374+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-21,true,correct,2026-07-08 08:51:58.256+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-22,true,correct,2026-07-08 08:50:43.163+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-23,true,correct,2026-07-10 07:28:53.687+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-24,true,correct,2026-07-10 07:14:50.444+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-25,true,correct,2026-07-10 07:09:03.877+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-26,true,correct,2026-07-09 06:46:45.335+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-27,true,correct,2026-07-10 08:01:48.983+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-28,true,correct,2026-07-14 09:28:04.279+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-29,true,correct,2026-07-14 15:41:01.254+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-3,true,correct,2026-07-01 08:37:25.127+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-30,true,correct,2026-07-14 15:59:37.938+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-31,true,correct,2026-07-14 16:01:26.575+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-32,true,correct,2026-07-14 15:38:26.727+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-33,true,correct,2026-07-14 15:50:30.49+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-34,true,correct,2026-06-28 17:10:55.075+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-36,true,correct,2026-07-14 09:23:28.213+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-9,true,correct,2026-06-29 08:54:44.646+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460876-37,true,correct,2026-07-14 15:48:50.799+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460876-38,true,correct,2026-06-29 08:27:08.997+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460876-39,true,correct,2026-06-29 08:44:26.927+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460876-40,true,correct,2026-07-11 07:29:40.344+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460876-41,true,correct,2026-07-11 07:34:13.391+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460876-42,true,correct,2026-07-14 16:00:53.23+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460876-43,true,correct,2026-07-14 15:55:10.229+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460876-48,true,correct,2026-07-14 15:51:07.121+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460876-49,true,correct,2026-07-14 16:01:35.139+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460876-50,true,correct,2026-07-14 15:38:51.719+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460876-51,true,correct,2026-07-01 08:36:26.768+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460876-52,true,correct,2026-07-08 08:52:20.666+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460876-53,true,correct,2026-07-10 07:51:00.148+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-11,true,correct,2026-06-29 08:33:35.871+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-12,true,correct,2026-07-14 15:52:49.948+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-13,true,correct,2026-07-14 15:52:58.963+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-14,true,correct,2026-07-14 15:50:05.203+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-20,true,correct,2026-07-08 13:05:17.636+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-21,true,wrong,2026-07-09 16:22:33.533+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-22,true,wrong,2026-07-08 08:32:00.216+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-23,true,correct,2026-07-08 13:02:58.797+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-24,true,correct,2026-07-10 07:56:40.097+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-25,true,correct,2026-07-10 06:53:26.839+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-26,true,correct,2026-07-08 16:33:16.462+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-27,true,correct,2026-07-09 12:33:31.563+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-28,true,correct,2026-07-14 15:39:45.473+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-29,true,correct,2026-07-14 09:05:15.304+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-3,true,correct,2026-07-01 08:41:34.923+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466083-9,true,correct,2026-06-27 16:11:58.857+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466084-30,true,correct,2026-07-14 15:38:58.468+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466084-31,true,correct,2026-07-14 15:46:48.434+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466084-32,true,correct,2026-07-14 15:34:05.814+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466084-33,true,correct,2026-07-14 15:30:51.426+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466084-40,true,correct,2026-07-11 07:53:57.337+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466084-41,true,correct,2026-07-11 06:34:28.719+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466084-42,true,correct,2026-07-14 15:57:12.908+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466084-48,true,correct,2026-07-14 09:23:55.872+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466084-49,true,correct,2026-07-14 15:50:56.283+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466084-50,true,correct,2026-07-14 15:52:31.783+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466084-51,true,correct,2026-07-01 08:36:45.728+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790466084-52,true,correct,2026-07-09 07:30:00.105+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-1,true,correct,2026-05-21 19:28:57.717+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-10,true,correct,2026-06-29 09:11:49.459+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-11,true,correct,2026-06-29 09:10:26.995+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-12,true,correct,2026-07-14 15:31:48.299+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-13,true,correct,2026-07-14 15:58:11.905+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-14,true,correct,2026-07-14 15:40:09.307+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-15,true,correct,2026-07-11 07:38:30.16+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-16,true,correct,2026-07-11 07:29:25.179+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-19,true,correct,2026-07-14 09:28:38.748+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-2,true,correct,2026-07-01 08:27:50.386+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-20,true,correct,2026-07-08 13:36:21.541+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-21,true,correct,2026-07-08 16:18:55.29+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-22,true,correct,2026-07-14 15:36:57.731+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-23,true,correct,2026-07-14 15:59:44.899+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-24,true,correct,2026-07-14 15:30:36.125+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-26,true,correct,2026-07-14 09:28:15.543+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-27,true,wrong,2026-07-14 15:59:05.253+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790778767-3,true,correct,2026-06-28 17:11:39.933+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778791002997-22,true,correct,2026-07-10 06:53:09.153+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778791002997-23,true,wrong,2026-07-08 16:26:12.69+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778791002997-24,true,correct,2026-07-09 12:25:02.573+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778791002997-25,true,wrong,2026-07-09 07:29:54.497+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778791002997-26,true,correct,2026-07-08 08:33:42.878+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778791002997-27,true,correct,2026-07-09 12:36:54.587+00
4e48f266-e823-45bf-8bfa-c86fecc36f44,1778791002997-28,true,correct,2026-07-14 15:38:18.162+00
