id,user_id,question_id,favorite,flagged,shown,correct,wrong,skipped,mistake_count,updated_at,flagged_for_deletion,last_seen,deleted
209,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778847294888-8,false,false,3,3,0,0,0,2026-05-17 09:50:38.901801+00,false,2026-05-17 09:55:32.586+00,false
210,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778789460875-7,false,false,4,3,1,0,1,2026-05-17 09:50:38.943095+00,false,2026-05-17 12:23:33.773+00,false
211,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778853566668-18,false,false,4,3,1,0,1,2026-05-17 09:50:38.956459+00,false,2026-05-17 12:22:45.481+00,false
212,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778851080839-6,false,false,3,3,0,0,0,2026-05-17 09:50:38.961265+00,false,2026-05-17 09:55:32.582+00,false
213,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778848736722-4,false,false,3,3,0,0,0,2026-05-17 09:50:38.966135+00,false,2026-05-17 09:55:32.506+00,false
214,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778847477225-3,false,false,4,4,0,0,0,2026-05-17 09:50:38.944324+00,false,2026-07-04 17:25:21.57+00,false
215,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778851069143-12,false,false,3,3,0,0,0,2026-05-17 09:50:38.876981+00,false,2026-05-17 09:55:32.531+00,false
218,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778852926457-5,false,false,3,3,0,0,0,2026-05-17 09:50:38.954899+00,false,2026-05-17 09:55:32.574+00,false
219,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778850920941-1,false,false,3,3,0,0,0,2026-05-17 09:50:38.943123+00,false,2026-05-17 09:55:32.534+00,false
220,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778848747332-11,false,false,3,0,0,3,3,2026-05-17 09:50:38.974042+00,false,2026-05-17 09:55:32.553+00,false
221,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778963783489-6,false,false,3,0,3,0,3,2026-05-17 09:50:38.976163+00,false,2026-05-17 09:55:32.555+00,false
222,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778835788402-39,false,false,3,3,0,0,0,2026-05-17 09:50:38.973969+00,false,2026-05-17 09:55:32.58+00,false
223,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778790458592-7,false,false,3,3,0,0,0,2026-05-17 09:50:38.976213+00,false,2026-05-17 09:55:32.546+00,false
224,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778848747332-12,false,false,4,3,1,0,1,2026-05-17 09:50:38.982001+00,false,2026-05-17 12:22:45.464+00,false
225,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778837350936-27,false,false,3,3,0,0,0,2026-05-17 09:50:38.989325+00,false,2026-05-17 09:55:32.564+00,false
226,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778847571354-12,false,false,3,0,3,0,3,2026-05-17 09:50:38.991174+00,false,2026-05-17 09:55:32.512+00,false
227,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778835792877-3,false,false,4,4,0,0,0,2026-05-17 09:50:38.991293+00,false,2026-07-09 09:39:44.17+00,false
228,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778850920941-20,false,false,4,4,0,0,0,2026-05-17 09:50:38.984928+00,false,2026-05-20 11:54:39.111+00,false
229,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778963767082-7,false,false,3,3,0,0,0,2026-05-17 09:50:38.992884+00,false,2026-05-17 09:55:32.562+00,false
231,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778837350936-16,false,false,4,4,0,0,0,2026-05-17 09:50:38.993345+00,false,2026-07-04 17:25:21.531+00,false
232,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778836917211-19,false,false,3,3,0,0,0,2026-05-17 09:50:38.993518+00,false,2026-05-17 09:55:32.57+00,false
233,4e48f266-e823-45bf-8bfa-c86fecc36f44,1778850305252-15,false,false,5,2,0,3,1,2026-05-17 09:50:38.985009+00,false,2026-05-18 21:50:50.983+00,false
