id,domanda,risposta_a,risposta_b,risposta_c,risposta_d,corretta,macrocategoria,is_situazionale,efficace_alta,efficace_neutra,efficace_bassa,created_at,deleted_globally,risposta_e
1778786034500-1,"Ai sensi dell'art. 5 del D.Lgs. 33/2013, il procedimento di accesso civico deve concludersi con provvedimento espresso e motivato da comunicarsi al richiedente e agli eventuali controinteressati nel termine di:",Quarantacinque giorni dalla presentazione dell'istanza.,Trenta giorni dalla presentazione dell'istanza.,Sessanta giorni dalla presentazione dell'istanza.,,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778786034500-10,Quale delle seguenti funzionalità in Windows consente di identificare settori danneggiati del disco rigido?,Scandisk.,Wi-fi.,Firewall.,,A,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778786034500-2,"A norma dell'art. 5 del D.Lgs. 33/2013, avverso la decisione dell'amministrazione competente di diniego o differimento dell'accesso civico a tutela degli interessi correlati alla protezione dei dati personali ovvero, in caso di richiesta di riesame, avverso quella del responsabile della prevenzione della corruzione e della trasparenza, il richiedente può proporre ricorso:",Al Tribunale amministrativo regionale.,Al Tribunale ordinario.,Al Presidente della Repubblica.,,A,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778786034500-4,Quale tasto di scelta rapida in ambiente Windows consente di ripristinare l'ultima operazione annullata?,CTRL+C.,CTRL+Z.,CTRL+Y.,,C,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778786034500-5,Complete the sentence by using one of the options given: 'Laura doesn't have as _________ money as John'.,Very.,Much.,Many.,,B,Inglese,false,,,,2026-05-15 21:10:33.313064,false,
1778786034500-6,Complete the sentence by using one of the options given: 'Zoe's parents have known each other _______ 1978'.,About.,For.,Since.,,C,Inglese,false,,,,2026-05-15 21:10:33.313064,false,
1778786034500-7,Cos’è una Dashboard nel mondo social?,Una sfida social.,Un servizio di conversazione online.,La schermata che riassume i dati più importanti e i risultati dell’attività social.,,C,Teoria_Comunicazione,false,,,,2026-05-15 21:10:33.313064,false,
1778786034500-8,"Secondo lo studioso Lev Manovich, i new media sono caratterizzati da:","Singolarità, stabilità e artificio.","Modularità, variabilità e automazione.","Unicità, costanza e artigianalità.",,B,Teoria_Comunicazione,false,,,,2026-05-15 21:10:33.313064,false,
1778786034500-9,Tra le caratteristiche dei new media primeggia il fatto che ogni singolo oggetto risponde a sempre più funzioni e unisce strumenti di comunicazione differenti. Come si chiama tale caratteristica?,Memoria.,Ibridazione.,Convergenza.,,C,Teoria_Comunicazione,false,,,,2026-05-15 21:10:33.313064,false,
1778786095045-3,Ogni trattamento di dati personali deve avvenire nel rispetto dei principi fissati all'art. 5 del Regolamento (UE) 2016/679. In applicazione del principio di integrità e riservatezza i dati personali sono:,"Trattati in modo lecito, corretto e trasparente nei confronti dell'interessato.","Esatti e, se necessario, aggiornati.",Trattati in maniera da garantire un'adeguata sicurezza dei dati personali.,,C,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
